Pager usage is off.
Timing is off.
              expert_id               | market |                instrument                | events | replay_open_shares | stored_open_shares | qty_drift | open_rows | closed_rows | stored_open_cost | replay_net_cash_out | stored_realized_pnl |        verdict        
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 6202 盛群                                |      2 |                  0 |                  0 |         0 |         0 |           1 |             0.00 |            10800.00 |           -10800.00 | match
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 6526 達發                                |      2 |                  0 |                  0 |         0 |         0 |           1 |             0.00 |           -83500.00 |            83500.00 | match
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 6907 雅特力-KY                           |      2 |                  0 |                  0 |         0 |         0 |           1 |             0.00 |           -36000.00 |            36000.00 | match
 3fda8093-81b1-43ed-ac4f-8936e0a7a8f2 | TW     | 708938 臺慶科統一65購01                  |      2 |                  0 |                  0 |         0 |         0 |           1 |             0.00 |            -1800.00 |             1800.00 | match
 3fda8093-81b1-43ed-ac4f-8936e0a7a8f2 | TW     | 709803 宏捷科台新5C購01                  |      2 |                  0 |                  0 |         0 |         0 |           1 |             0.00 |            12200.00 |           -12200.00 | match
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 8028 昇陽半導體                          |      1 |                500 |                500 |         0 |         1 |           0 |        133000.00 |           133000.00 |                0.00 | match
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 8046 南電                                |      3 |                  0 |                  0 |         0 |         0 |           1 |             0.00 |          -142600.00 |           142600.00 | match
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 8131 福懋科                              |      3 |                  0 |                  0 |         0 |         0 |           1 |             0.00 |            -8100.00 |             8100.00 | match
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 8299 群聯                                |      3 |                100 |                100 |         0 |         1 |           1 |        181500.00 |           163500.00 |            18000.00 | match
 890db218-aeff-49c9-890c-cc016db09673 | US     | AMD Advanced Micro Devices Inc           |      1 |                 15 |                 15 |         0 |         1 |           0 |          7267.50 |             7267.50 |                0.00 | match
 890db218-aeff-49c9-890c-cc016db09673 | US     | INTC                                     |      2 |                  0 |                  0 |         0 |         0 |           1 |             0.00 |              204.40 |             -204.40 | match
 e381e144-ce74-4f1c-a7fa-aebbcb9c6f76 | US     | INTC                                     |      2 |                  0 |                  0 |         0 |         0 |           1 |             0.00 |               14.40 |              -14.40 | match
 890db218-aeff-49c9-890c-cc016db09673 | US     | META Meta Platforms Inc                  |      2 |                  0 |                  0 |         0 |         0 |           1 |             0.00 |             -635.90 |              635.90 | match
 890db218-aeff-49c9-890c-cc016db09673 | US     | ORCL                                     |      2 |                 10 |                 10 |         0 |         1 |           0 |          1521.20 |             1521.20 |                0.00 | match
 890db218-aeff-49c9-890c-cc016db09673 | US     | PLTR                                     |      2 |                  0 |                  0 |         0 |         0 |           1 |             0.00 |             -948.30 |              948.30 | match
 890db218-aeff-49c9-890c-cc016db09673 | US     | SOXL                                     |      1 |                  1 |                  1 |         0 |         1 |           0 |           149.73 |              149.73 |                0.00 | match
 e381e144-ce74-4f1c-a7fa-aebbcb9c6f76 | US     | SPCX Space Exploration Technologies Corp |      1 |                 50 |                 50 |         0 |         1 |           0 |          5495.00 |             5495.00 |                0.00 | match
 890db218-aeff-49c9-890c-cc016db09673 | US     | TSM                                      |      2 |                  0 |                  0 |         0 |         0 |           1 |             0.00 |             -234.00 |              234.00 | match
 890db218-aeff-49c9-890c-cc016db09673 | US     | VRT                                      |      2 |                  0 |                  0 |         0 |         0 |           1 |             0.00 |             -691.50 |              691.50 | match
 e381e144-ce74-4f1c-a7fa-aebbcb9c6f76 | US     | WDC                                      |      1 |                 10 |                 10 |         0 |         1 |           0 |          4601.00 |             4601.00 |                0.00 | match
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 00631L 元大台灣50正2                     |      3 |               4995 |                  0 |     -4995 |         0 |           1 |             0.00 |           177190.60 |          5050000.00 | multiple_apply
 3fda8093-81b1-43ed-ac4f-8936e0a7a8f2 | TW     | 068003 國巨統一75購01                    |      3 |              50000 |           50000000 |  49950000 |         1 |           0 |      48500000.00 |            48300.00 |                0.00 | multiple_apply
 3fda8093-81b1-43ed-ac4f-8936e0a7a8f2 | TW     | 071111 華邦電永豐5C購03                  |      3 |             -40000 |                  0 |     40000 |         0 |           1 |             0.00 |           -60800.00 |         35700000.00 | multiple_apply
 3fda8093-81b1-43ed-ac4f-8936e0a7a8f2 | TW     | 071745 T50正2台新66購01                  |      1 |              30000 |           30000000 |  29970000 |         1 |           0 |      63300000.00 |            63300.00 |                0.00 | multiple_apply
 3fda8093-81b1-43ed-ac4f-8936e0a7a8f2 | TW     | 078397 同欣電富邦64購02                  |      1 |              50000 |           50000000 |  49950000 |         1 |           0 |      50500000.00 |            50500.00 |                0.00 | multiple_apply
 3fda8093-81b1-43ed-ac4f-8936e0a7a8f2 | TW     | 079052 樺漢元大64購03                    |      1 |              50000 |           50000000 |  49950000 |         1 |           0 |      83500000.00 |            83500.00 |                0.00 | multiple_apply
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 2478 大毅                                |      1 |               1000 |            1000000 |    999000 |         1 |           0 |     130000000.00 |           130000.00 |                0.00 | multiple_apply
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 3363 上詮                                |      4 |               -200 |                  0 |       200 |         0 |           2 |             0.00 |          -131900.00 |            31498.00 | multiple_apply
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 4576 大銀微系統                          |      3 |                999 |                  0 |      -999 |         0 |           1 |             0.00 |           182802.00 |         20990000.00 | multiple_apply
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 6138 茂達                                |      1 |               1000 |            1000000 |    999000 |         1 |           0 |     287000000.00 |           287000.00 |                0.00 | multiple_apply
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 6285 啟碁                                |      6 |              -1000 |                  0 |      1000 |         0 |           3 |             0.00 |          -233250.00 |           -16255.00 | multiple_apply
 13926bcc-d3df-4ef5-bc56-7181ae4302a2 | TW     | 6515 穎崴                                |      4 |                 10 |                 50 |        40 |         1 |           1 |        317090.00 |            38330.00 |            27160.00 | multiple_apply
 3fda8093-81b1-43ed-ac4f-8936e0a7a8f2 | TW     | 707414 前鼎統一74購01                    |      4 |              50000 |                  0 |    -50000 |         0 |           2 |             0.00 |            28000.00 |         -2500000.00 | multiple_apply
 e381e144-ce74-4f1c-a7fa-aebbcb9c6f76 | US     | GLW                                      |      3 |                -10 |                  0 |        10 |         0 |           1 |             0.00 |            -1779.20 |              230.70 | multiple_apply
 e381e144-ce74-4f1c-a7fa-aebbcb9c6f76 | US     | GOOG                                     |      4 |                -11 |                  0 |        11 |         0 |           1 |             0.00 |            -3801.98 |              300.80 | multiple_apply
 890db218-aeff-49c9-890c-cc016db09673 | US     | META                                     |      2 |                -10 |                  0 |        10 |         0 |           2 |             0.00 |            -6621.25 |             1271.25 | multiple_apply
 890db218-aeff-49c9-890c-cc016db09673 | US     | NVDA 輝達                                |      1 |                -50 |                  0 |        50 |         0 |           1 |             0.00 |            -9801.00 |             -250.00 | multiple_apply
 e381e144-ce74-4f1c-a7fa-aebbcb9c6f76 | US     | AMD                                      |      3 |                 15 |                 25 |        10 |         1 |           0 |         12610.75 |             7762.10 |                0.00 | other_drift
 890db218-aeff-49c9-890c-cc016db09673 | TW     | AMZN 亞馬遜                              |      2 |                  0 |                  0 |         0 |         0 |           0 |             0.00 |             -145.20 |                0.00 | signal_only_no_trade
 890db218-aeff-49c9-890c-cc016db09673 | TW     | CRM 賽富時                               |      2 |                  0 |                  0 |         0 |         0 |           0 |             0.00 |             -201.90 |                0.00 | signal_only_no_trade
 890db218-aeff-49c9-890c-cc016db09673 | TW     | GOOGL                                    |      2 |                  0 |                  0 |         0 |         0 |           0 |             0.00 |             -443.20 |                0.00 | signal_only_no_trade
 890db218-aeff-49c9-890c-cc016db09673 | TW     | META                                     |      1 |                 15 |                  0 |       -15 |         0 |           0 |             0.00 |             8880.00 |                0.00 | signal_only_no_trade
 890db218-aeff-49c9-890c-cc016db09673 | TW     | NVDA 輝達                                |      2 |                 50 |                  0 |       -50 |         0 |           0 |             0.00 |            10051.00 |                0.00 | signal_only_no_trade
 890db218-aeff-49c9-890c-cc016db09673 | TW     | QCOM 高通                                |      2 |                 30 |                  0 |       -30 |         0 |           0 |             0.00 |             5945.80 |                0.00 | signal_only_no_trade
 890db218-aeff-49c9-890c-cc016db09673 | TW     | SPCX Space X                             |      1 |                 20 |                  0 |       -20 |         0 |           0 |             0.00 |             3760.00 |                0.00 | signal_only_no_trade
 890db218-aeff-49c9-890c-cc016db09673 | TW     | ZM ZOOM                                  |      2 |                  0 |                  0 |         0 |         0 |           0 |             0.00 |              -68.60 |                0.00 | signal_only_no_trade
 890db218-aeff-49c9-890c-cc016db09673 | US     | SPCX                                     |      1 |                 20 |                  0 |       -20 |         0 |           0 |             0.00 |             2326.00 |                0.00 | signal_only_no_trade
 890db218-aeff-49c9-890c-cc016db09673 | US     | AMZN 亞馬遜                              |      0 |                    |                  0 |         0 |         0 |           1 |             0.00 |                0.00 |              145.20 | stored_only_no_signal
 890db218-aeff-49c9-890c-cc016db09673 | US     | CRM 賽富時                               |      0 |                    |                  0 |         0 |         0 |           1 |             0.00 |                0.00 |              201.90 | stored_only_no_signal
 890db218-aeff-49c9-890c-cc016db09673 | US     | GOOGL                                    |      0 |                    |                  0 |         0 |         0 |           1 |             0.00 |                0.00 |              443.20 | stored_only_no_signal
 890db218-aeff-49c9-890c-cc016db09673 | US     | QCOM 高通                                |      0 |                    |                 30 |        30 |         1 |           0 |          5945.70 |                0.00 |                0.00 | stored_only_no_signal
 890db218-aeff-49c9-890c-cc016db09673 | US     | SPCX Space X                             |      0 |                    |                 60 |        60 |         1 |           0 |          8412.00 |                0.00 |                0.00 | stored_only_no_signal
 890db218-aeff-49c9-890c-cc016db09673 | US     | ZM ZOOM                                  |      0 |                    |                  0 |         0 |         0 |           1 |             0.00 |                0.00 |               68.60 | stored_only_no_signal
(84 rows)

