id,teacher,instrument,status,quantity,quantity_unit,entry_price,exit_price,pnl_percent,created_at
28d4a981-303c-4b0a-9036-222a44efe143,sharkgu,4755 三福化,closed,1000,張,141,120,-14.89,2026-07-07 01:14:50.949542+00
8e6c8f52-85ad-47e5-8f6e-bdbbadaa4fe6,master-brcto,707414 前鼎統一74購01,closed,50000,張,0.83,0.51,-38.55,2026-07-03 01:29:23.268235+00
35338dec-fea5-44f2-88f1-4ae670223568,sharkgu,3167 大量,closed,200,股,820,822,0.24,2026-07-03 00:48:04.631971+00
84111861-546e-4193-92d1-f84f4889eb2e,sharkgu,2359 所羅門,closed,1000,股,130,139,6.92,2026-07-03 00:32:05.73282+00
4057a1aa-1a77-4335-88e5-cdee19ce685c,sharkgu,4939 亞電,closed,2000,股,63.8,57.2,-10.34,2026-07-03 00:32:05.73282+00
9b5bb24a-c98b-4692-8af5-c0105b04152b,master-brcto,071939 瑞昱統一6A購01,closed,30000,股,1.29,1.1,-14.73,2026-07-01 03:42:28.887439+00
6229d470-34ff-4c46-b364-69c46f1794c8,sharkgu,6907 雅特力-KY,closed,1000,股,149,185,24.16,2026-06-26 01:27:36.369594+00
84cd79bb-1752-4c6d-ac26-a567cb16f109,master-zhou,CRM 賽富時,closed,30,股,152.6,159.33,4.41,2026-06-24 00:32:38.416647+00
0e178e95-52b1-4849-850b-267e7a8c9fe0,master-zhou,AMZN 亞馬遜,closed,20,股,234.74,242,3.09,2026-06-24 00:32:38.416647+00
92fdbdc9-342c-4e3b-abbb-7cd907de4e1e,master-zhou,GOOGL,closed,20,股,343.04,365.2,6.46,2026-06-23 00:27:05.469404+00
5e15e977-200a-42d4-8929-122734f89833,master-brcto,068736 神達元大5B購03,closed,20000,股,1.43,1.27,-11.19,2026-06-22 01:07:08.317844+00
428696b3-1668-456a-8b1a-8bd29c93657a,master-brcto,069559 力成元大62購01,closed,80000,張,0.77,0.35,-54.55,2026-06-18 01:26:15.025094+00
b9d930a9-58b9-40d5-ab10-38b49ff01eb2,master-brcto,063693 辛耘國泰61購02,closed,20000,股,1.98,2.29,15.66,2026-06-18 01:26:15.025094+00
ce94cddf-0a84-4a7d-b3fb-e864d97ae136,master-brcto,062787 貿聯群益5A購02,closed,50029,股,1.12,0.64,-42.86,2026-06-18 01:26:15.025094+00
1676c6e6-f05f-448d-a895-4270571eb2c7,master-zhou,NVDA 輝達,closed,50,股,201.02,196.02,-2.49,2026-06-18 00:34:31.634529+00
09136e6f-d7c8-4d26-a058-2e5c25416e0a,master-zhou,ZM ZOOM,closed,20,股,89,92.43,3.85,2026-06-18 00:34:31.634529+00
37bda1c5-3e81-4d3b-9d02-0e6800f5fbac,master-zhou,QCOM 高通,open,30,股,198.19,,-16.35,2026-06-18 00:34:31.634529+00
59b7a438-313d-4a18-a531-d7c91143215c,master-zhou,SPCX Space X,open,60,股,140.20,,-0.14,2026-06-18 00:34:31.634529+00
de7c12e0-0d6f-423e-859e-f4992e674f79,master-brcto,708938 臺慶科統一65購01,closed,20000,股,1.22,1.31,7.38,2026-06-17 01:17:03.61007+00
fdd1b5be-1532-423b-a764-f6890613f44c,master-brcto,709803 宏捷科台新5C購01,closed,20000,股,1.68,1.07,-36.31,2026-06-17 01:17:03.61007+00
0877f267-cf1f-485d-81b1-139ceafd10c2,sharkgu,6285 啟碁,closed,1000,股,251.75,250,-0.70,2026-06-15 03:08:36.42189+00
9ff30202-6c7d-418b-b0fc-2c8462799e36,sharkgu,3081 聯亞,closed,150,股,2199,2185,-0.64,2026-06-12 01:53:06.222046+00
b1fad3d4-f271-4b5d-a200-8b5c1bc6ae96,sharkgu,2356 英業達,closed,1000,張,70.3,66.7,-5.12,2026-06-09 04:43:15.250244+00
7c53e287-4ed3-49f0-b816-c9ce382d7a8a,sharkgu,8046 南電,closed,500,股,829.80,1115,34.37,2026-06-09 01:05:47.569844+00
f6a7c1ad-28df-48c2-b00d-01f3bc0572c2,sharkgu,2303 聯電,closed,1000,股,126.5,175,38.34,2026-06-04 01:05:38.474947+00
29ebff88-5779-41c0-888c-536c46ddc99f,sharkgu,4971 IET-KY,closed,500,股,733.60,525,-28.44,2026-06-03 03:46:18.464072+00
61e78e20-2a37-4f06-a42b-4ffd3b9775ea,sharkgu,1514 亞力,closed,1000,股,127,126,-0.79,2026-06-01 01:37:50.024572+00
5998d6e4-8030-43cb-a97c-8a0380ea4a50,sharkgu,3152 璟德,closed,1000,股,199,221,11.06,2026-05-29 01:20:53.213802+00
8c6316bc-942e-44f0-880f-df36c3dde8df,sharkgu,2367 燿華,closed,2000,股,67.8,62.8,-7.37,2026-05-28 01:25:09.568402+00
37d49676-c4c2-40b6-b0fd-f6116811bd00,sharkgu,1815 富喬,closed,2000,股,106.50,98.3,-7.70,2026-05-27 01:46:52.008934+00
8589fa3f-de40-4ed7-89bb-54bfc2f143c3,sharkgu,6202 盛群,closed,2000,股,60.7,55.3,-8.90,2026-05-27 01:46:52.008934+00
c12dc499-fad9-4dad-8ade-46e480e0cc71,sharkgu,3028 增你強,closed,2000,股,81,84,3.70,2026-05-25 04:56:56.349517+00
719f83f4-5e0c-4bca-afd4-da7811c32813,sharkgu,6191 精成科,closed,2000,股,96.5,97.3,0.83,2026-05-21 01:13:54.665809+00
6477775a-4c3a-42f3-870c-ae5f6034968d,sharkgu,5269 祥碩,closed,100,股,1405,1525,8.54,2026-05-19 01:34:22.6519+00
fa56cc3a-5b78-4aa1-bacc-b61c6a75b164,sharkgu,4966 譜瑞,closed,200,股,769,910,18.34,2026-05-19 01:34:22.6519+00
9e7616bd-dbb8-4a23-8724-18be78d8b10a,sharkgu,3702 大聯大,closed,1000,股,114,124,8.77,2026-05-13 01:31:30.463512+00
59281565-c688-4e26-86a5-dc1a45a84806,sharkgu,8131 福懋科,closed,2000,股,64.95,69,6.24,2026-05-08 04:57:30.539132+00
20cdec02-7b92-40e7-b24f-88679557923b,sharkgu,8299 群聯,closed,100,股,2400,2580,7.50,2026-05-07 03:30:17.898188+00
1a838de1-8550-44c8-adff-b6d313136993,sharkgu,3006 晶豪科,closed,1000,股,174,238,36.78,2026-05-04 12:02:01.910035+00
1a5b39de-2d3a-49ff-a1af-341b91f9171d,sharkgu,3035 智原,closed,1000,股,169,207.5,22.78,2026-05-04 11:57:25.155704+00
da575c87-5ddf-45d6-a365-966da41aff31,sharkgu,6526 達發,closed,500,股,585,752,28.55,2026-05-04 11:52:32.542464+00
